nid,title_ar,body_summary,target_audience,service_duration,provided_languages,service_channels,service_cost,payment_options,categories,beneficiaries,tags,source_note
100,"الشركاء السعوديون","تم تصميم خدمات الشركاء السعوديين التي تقدمها شركة متعدد للاستشارات لمساعدة المستثمرين الأجانب والشركات العالمية في العثور على شركاء محليين موثوقين في المملكة العربية السعودية. وتساعد هذه الشراكات الشركات الأجنبية على دخول السوق السعودية، مما يضمن الامتثال للوائح المحلية وتسهيل العمليات التجارية بسلاسة. توفر خدماتنا الدعم اللازم للتنقل بنجاح في بيئة الأعمال في المملكة العربية السعودية.",,,,,,,,,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=empty; beneficiaries=empty; tags=empty"
183,,,,,,,,,"Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
408,"اصدار ترخيص الاستثمار الأجنبي","تُعد رخصة MISA شرطاً أساسياً لـ تأسيس شركة أجنبية في السعودية، حيث تسمح للمستثمر الدولي بالاستثمار في السعودية. يمكن إصدار ترخيص الاستثمار الأجنبي بشراكة مع الشريك السعودي أو شريك خليجي.",,,,,,,"Business Support",,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
409,"حجز الاسم التجاري","خدمة حجز الاسم التجاري المتكاملة تضمن لك تسجيل اسم تجاري فريد باللغتين (اسم تجاري عربي واسم تجاري إنجليزي)، وذلك بالتنسيق المباشر مع وزارة التجارة. نتحقق من أن الاسم لائق ومناسب ويمتثل لجميع شروط نظام الشركات قبل إدراجه في السجل التجاري الخاص بمنشأتك.",,,,,١٥٠٠,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم تكلفة الاسم العربي ٣٠٠ ريال 
رسوم تكلفة الاسم الانجليزي ٥٠٠ ريال","Business Support",,,"summary=ar; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
410,,,,,,,1500,"Transfer to company account
Cost includes government fees:
Arabic name fee: 300 SAR
English name fee: 500 SAR","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
411,"صياغة وتوثيق عقد التأسيس للشركات",,,,,,3500,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم تكلفة وزارة التجارة 1800 ريال","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
412,,,,,,,3500,"Transfer to company account details:
Cost includes government fees:
Ministry of Commerce fee 1800","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
413,"اشتراك وتجديد الغرفة التجارية",,,,,,750,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم الغرفة التجارية حسب الفئة","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
414,,,,,,,750,"Transfer to company account details:
Cost includes government fees:
Chamber of Commerce fees according to category","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
415,"تفعيل وتسجيل المنشأة في منصة قوى",,,,,,2250,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم تفعيل منصة قوى ١٣٠٠ ريال","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
416,"تفعيل وتسجيل منصة قوى",,,,,,2250,"رسوم تفعيل منصة قوى: 1300 ريال سعودي.
ملاحظة التكلفة: التكلفة لا تشمل الرسوم الحكومية المقررة.
طريقة السداد: يتم التحويل إلى تفاصيل حساب الشركة.","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
417,"إصدار تأشيرة المدير العام أو المستثمر",,,,,,2750,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم وزارة الموارد البشرية ٢٠٠٠ ريال","Residency & Visas",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
418,,,,,,,2750,"Transfer to company account details:
Cost includes government fees:
Ministry of Human Resources fees: 2000 SAR","Residency & Visas",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
419,"تفويض التأشيرة عبر منصة إنجاز",,,,,,١٢٥٠,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم وزارة الخارجية ومنصة انجاز","Residency & Visas",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
420,,,,,,,,"Transfer to company account details:
Cost includes government fees:
Ministry of Foreign Affairs and Enjaz platform fees","Residency & Visas",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
421,"الاشتراك في منصة التأمينات الاجتماعية (GOSI) وإصدار الشهادة",,,,,,٥٠٠,,"HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
422,,,,,,,,"Transfer to company account details: 
Cost includes government fees:","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
423,"تفعيل منصة مدد لنظام الرواتب وحماية الأجور",,,,,,٢٩٠٠,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
424,,,,,,,,"Transfer to company account details: 
Cost includes government fees:","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
425,"تفعيل العنوان الوطني للشركات وتوفير العنوان الافتراضي",,,,,,2500,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
426,,,,,,,,"Transfer to company account details: 
Cost includes government fees:","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
428,"تفعيل منصة مقيم",,,,,,,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
429,,,,,,,,"Transfer to company account details:
Cost includes government fees:
Muqeem platform subscription fees","HR Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
430,"إصدار الإقامة للمدير العام أو المستثمر الأجنبي",,,,,,14350,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم الفحص الطبي
رسوم التامين الطبي
رسوم رخصة العمل
رسوم الجوازات (مكتب الهجرة)","Residency & Visas",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
431,,,,,,,14350,"Transfer to company account details:
Cost includes government fees:
Medical examination fees
Medical insurance fees
Work permit fees
Passport fees (Immigration Office)","Residency & Visas",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
432,"فتح حساب بنكي للشركات",,,,,,3500,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
لا توجد رسوم حكومية","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
433,,,,,,,3500,"Transfer to company account details:
Cost includes government fees:
No government fees","Business Support",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
434,"خدمات المحاسبة ومسك الدفاتر",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
436,"خدمات إدارة الرواتب في المملكة العربية السعودية",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
437,"خدمات تسوية ومعالجة القيود المحاسبية المتراكمة في السعودية",,,,"العربية واللغة الانجليزية",,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=ar; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
438,"خدمات مراجعة الحسابات في المملكة العربية السعودية",,,,"العربية واللغة الانجليزية",,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=ar; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
439,"خدمات الاستشارات المتعلقة بضريبة القيمة المضافة في المملكة العربية السعودية",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
440,"خدمات التسجيل في ضريبة القيمة المضافة في المملكة العربية السعودية",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
441,"خدمات تقديم إقرارات ضريبة القيمة المضافة في المملكة العربية السعودية",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
442,"خدمات استرداد ضريبة القيمة المضافة في المملكة العربية السعودية",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
443,"خدمات إلغاء التسجيل في ضريبة القيمة المضافة في المملكة العربية السعودية",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
444,"خدمات ضريبة الاستقطاع",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
445,"إصدار أو تجديد رخصة العمل",,,,,,300,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
446,,,,,,,,"Transfer to company account details:
Cost includes government fees:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
447,"تعديل العنوان الوطني",,,,,,300,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
448,"ضريبة الشركات",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
449,الزكاة,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
450,"التدقيق الخارجي",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
451,"التدقيق الداخلي",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
452,"تدقيق المخزون / الجرد",,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
453,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
454,,,,,,,300,"Transfer to company account details: 
Cost includes government fees:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
455,"تعديل عقد التأسيس للشركة وتعديل نوع الشركة",,,,,,4300,"التحويل على بيانات حساب الشركة:
التكلفة تشمل الرسوم الحكومية:
رسوم تعديل عقد التأسيس من المركز السعودي للأعمال ١٨٠٠ ريال","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
456,,,,,,,4300,"Transfer to company account details:
Cost includes government fees:
Saudi Business Center Articles of Association Amendment Fee: 1800 SAR","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
457,"تقسيط مديونية منشأة للتأمينات الاجتماعية",,,,,,3500,"التحويل على بيانات حساب الشركة:
التكلفة لا تشمل الرسوم الحكومية:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
458,,,,,,,3500,"Transfer to company account details:
Cost does not include government fees:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
459,"إصدار شهادة توطين",,"الشركات والمؤسسات المسجلة في منصة قوى",,,"عبر منصة متعدد الالكترونية",300,"التحويل على بيانات حساب الشركة:
التكلفة لا تشمل الرسوم الحكومية:","Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=empty; channels=ar; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
460,,,,,,,300,"Transfer to company account details: 
Cost does not include government fees.","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
461,"إصدار شهادة التأمينات الاجتماعية (GOSI)",,,,,,300,"التحويل على بيانات حساب الشركة:
التكلفة لا تشمل الرسوم الحكومية:","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=ar; payment=ar; categories=ar; beneficiaries=empty; tags=empty"
462,,,,,,,300,"Transfer to company account details: 
Cost does not include government fees.","Government Relations Services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=en_fallback; payment=en_fallback; categories=en_fallback; beneficiaries=empty; tags=empty"
463,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
464,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
465,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
466,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
467,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
468,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
469,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
470,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
471,"التسجيل الإلكتروني للمستورد/ المصدر",,"أصحاب الشركات والمؤسسات الراغبين في ممارسة أنشطة التجارة الخارجية عبر التسجيل الإلكتروني للمستورد/المصدر وتوثيق هويتهم التجارية لدى الجمارك والسجل التجاري.",,,"تتم الخدمة رقمياً عبر بوابة المركز السعودي للأعمال ومنصة ""فسح""، لضمان تكامل بيانات تأسيس الشركات مع كافة جهات الخدمات الحكومية ذات العلاقة.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=empty; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
472,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
473,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
474,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
475,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
476,,,,,,,,,"Accounting services",,,"summary=empty; audience=empty; duration=empty; languages=empty; channels=empty; cost=empty; payment=empty; categories=en_fallback; beneficiaries=empty; tags=empty"
477,"إصدار وتجديد الإقامة عبر منصة مقيم",,"الفئة المستهدفة	أصحاب الشركات والمؤسسات الراغبين في إجراء إصدار وتجديد الإقامة لعمالتهم الوافدة لضمان الامتثال لأنظمة الجوازات وربطها ببيانات السجل التجاري.",,"اللغة المقدمة	تتوفر واجهة خدمة إصدار وتجديد الإقامة باللغتين العربية والإنجليزية، لتسهيل متابعة التواريخ والمدد من قبل المستثمر والمدير العام في قطاع الأعمال.","قنوات تقديم الخدمة تتم الخدمة إلكترونياً عبر بوابة ""مقيم""، حيث يتم التكامل مع نظام ""أبشر أعمال"" ووزارة الداخلية لتقديم الخدمات الحكومية بشكل فوري وتحديث ملفات الشركات.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
478,"التسجيل الإلكتروني للمستورد/المصدر",,"أصحاب الشركات والمؤسسات الراغبين في ممارسة أنشطة التجارة الخارجية عبر التسجيل الإلكتروني للمستورد/المصدر وتوثيق هويتهم التجارية لدى الجمارك والسجل التجاري.",,"تتوفر واجهة التسجيل الإلكتروني للمستورد/المصدر باللغتين العربية والإنجليزية، لتسهيل مهمة المستثمر والشركاء الدوليين والمدير العام في إدارة التبادل التجاري.","تتم الخدمة رقمياً عبر بوابة المركز السعودي للأعمال ومنصة ""فسح""، لضمان تكامل بيانات تأسيس الشركات مع كافة جهات الخدمات الحكومية ذات العلاقة.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
479,"تأشيرة خروج وعودة / خروج نهائي",,"الفئة المستهدفة	أصحاب الشركات الذين يحتاجون لمنح موظفيهم تأشيرة خروج وعودة / خروج نهائي لتنظيم سفر الكوادر أو إنهاء خدماتهم المرتبطة بـ السجل التجاري والمنشأة.",,"اللغة المقدمة	تتوفر واجهة إصدار تأشيرة خروج وعودة / خروج نهائي باللغتين العربية والإنجليزية، لسهولة استخدامها من قبل المستثمر والمدير العام في إدارة الشركات.","قنوات تقديم الخدمة	تتم الخدمة عبر منصة ""مقيم"" الرقمية، حيث يتم الربط المباشر مع المديرية العامة للجوازات لتنفيذ الخدمات الحكومية وتحديث سجلات تأسيس الشركات والنمو.",,,"Government Relations Services",,,"summary=empty; audience=ar; duration=empty; languages=ar; channels=ar; cost=empty; payment=empty; categories=ar; beneficiaries=empty; tags=empty"
