nid,service_duration,provided_languages,service_channels
446,Same day to a few business days after levy payment.,Arabic and English,Qiwa (MHRSD) work permit issuance and renewal.
433,Commonly 1–4 weeks depending on bank KYC.,Arabic and English,Scheduled bank meetings with prepared CR/AoA and KYC packs.
431,Few business days after medical and fee steps.,Arabic and English,Muqeem with MHRSD permit activation and online payments.
429,Typically 1–3 business days for activation.,Arabic primary; English support for investors,Muqeem online establishment setup.
426,Typically 1–3 business days.,Arabic primary; English guidance for banking steps,SPL (Sabeel) National Address; optional virtual address coordination.
424,Typically 1–3 business days after data validation.,Arabic primary; English WPS guidance,Mudad online with MHRSD and bank linkage.
422,Same day to a few business days.,Arabic primary; English for executive managers,GOSI online subscription and certificate issuance.
420,Few business days once visa and office data are ready.,Arabic and English,Enjaz (Ministry of Foreign Affairs) digital endorsement.
418,"Often 2–6 weeks depending on medical, embassy, and Qiwa steps.",Arabic and English,Qiwa visa issuance with supporting authentication steps.
416,Typically 1–3 business days for activation.,Arabic primary; English executive support,Qiwa online only (MHRSD-linked).
414,Same day to few days on digital channels.,Arabic primary; English support where required,Chamber of Commerce city e-portals with CR auto-linkage.
412,Case-dependent; commonly about 1–2 weeks including authentication.,Arabic official text; English summaries for partners,Saudi Business Center platform with digital partner signatures.
410,Typically 1–5 business days after MOC review.,Arabic official naming; certified English as required,Ministry of Commerce (Saudi Business Center) online only.
183,Several weeks to months depending on structure and approvals.,Arabic and English,MISA/MOC digital filings plus advisory and documentation support.
100,Scoped per partner search mandate.,Arabic and English,"Consultations, introductions, and document support (remote or in-person)."
99,Defined per engagement scope.,Arabic and English,"Virtual sessions, on-site workshops, and SBC-aligned advisory."
98,"Varies by volume, language pair, and certification needs.","Arabic, English, French, and others on request",Secure digital delivery; certified hard copy or in-person handover when needed.
97,About 4–8 weeks for many employment routes (varies by visa type).,Arabic and English,Embassy/consulate steps plus Qiwa/Absher-related flows as applicable.
96,Typically about 3–6 months end-to-end.,Arabic and English,Premium Residency official channels with advisory support.
92,Programme-dependent (often multi-month cohorts).,Arabic and English,"Incubator onboarding, mentorship, and workspace access (on-site/remote)."
91,Immediate booking through contract start.,Arabic and English,Online application or booking platform plus on-site access.
90,Ongoing monthly or project-based HR support.,Arabic and English,"Remote delivery plus on-site GRO, PRO, and HR operations."
83,Typically 3–4 weeks for standard RHQ processing (case-dependent).,Arabic and English,"MISA digital services, structured documentation, and coordination with SBC as required."
65,About 2–4 weeks depending on documents and authority review.,Arabic and English,Zone authority portals and investor advisory (remote and on-site).
1,About 2–4 weeks for many professional service licences once files are complete.,Arabic and English,SBC/MISA/MoC digital channels with remote advisory and on-site support when needed.
