langcode,source_path,target_path,New target_path
es,/es/national-address-and-office-service,/national-address-and-office-service,/services/national-address-and-office-service
es,/es/Oportunidades-de-inversión-en-Arabia-Saudita,/Investment-Opportunities-in-Saudi-Arabia,/blog/Investment-Opportunities-in-Saudi-Arabia
es,/es/other-legal-information,/other-legal-information,/services/other-legal-information
es,/es/por-que-invertir-en-arabia-saudita-una-guia-concisa-para-inversores-extranjeros,/Why-Invest-in-Saudi-Arabia,/services/Why-Invest-in-Saudi-Arabia
es,/es/premium-residency-saudi-arabia,/premium-residency-saudi-arabia,/services/premium-residency-saudi-arabia
es,/es/privacy-policy,/privacy-policy,/services/privacy-policy
es,/es/pro-gro-services-streamline-your-saudi-business-setup,/pro-gro-services-streamline-your-saudi-business-setup,/services/pro-gro-services-streamline-your-saudi-business-setup
es,/es/Quality-of-Life-in-Saudi-Arabia,/Quality-of-Life-in-Saudi-Arabia,/blog/Quality-of-Life-in-Saudi-Arabia
es,/es/Register-Your-Company-in-Saudi-Arabia,/business-setup,/services/business-setup
es,/es/rhq-license-mena-license,/rhq-license-mena-license,/services/rhq-license-mena-license
es,/es/Saudi-Arabia-and-Italy-Sign-Energy-Cooperation-Agreement,/Saudi-Arabia-and-Italy-Sign-Energy-Cooperation-Agreement,/blog/Saudi-Arabia-and-Italy-Sign-Energy-Cooperation-Agreement
es,/es/Saudi-Arabian-Laws,/Saudi-Arabian-Laws,/blog/Saudi-Arabian-Laws
es,/es/saudi-partners,/saudi-partners,/services/saudi-partners
es,/es/Saudi-Startup-Business-Program,/Saudi-Startup-Business-Program,/blog/Saudi-Startup-Business-Program
es,/es/set-your-company-saudi-arabia-motaded,/business-setup,/services/business-setup
es,/es/special-economic-zones-saudi-arabia,/special-economic-zones-saudi-arabia,/services/special-economic-zones-saudi-arabia
es,/es/Subsidiary-Companies-in-Saudi-Arabia,/Subsidiary-Companies-in-Saudi-Arabia,/blog/Subsidiary-Companies-in-Saudi-Arabia
es,/es/Taxes-in-Saudi-Arabia,/Taxes-in-Saudi-Arabia,/blog/Taxes-in-Saudi-Arabia
es,/es/translation-services,/translation-services,/services/translation-services
es,/es/type-license,/type-license,/blog/type-license
es,/es/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia,/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia,/blog/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia
es,/es/visa-issuance,/visa-issuance,/services/visa-issuance
es,/es/vision-2030,/vision-2030,/blog/vision-2030
es,/es/what-neom,/what-neom,/blog/what-neom
es,/es/who-we-are,/who-we-are,/services/who-we-are
es,/es/why-invest-saudi-arabia-concise-guide-foreign-investors,/why-invest-saudi-arabia-concise-guide-foreign-investors,/blog/why-invest-saudi-arabia-concise-guide-foreign-investors
es,/es/البوابة-الاستراتيجية-لشركة-متعدد-المحدودة,/,/
fr,/fr/10-Steps-to-Setting-Up-Your-Business-in-Saudi-Arabia,/business-setup,/services/business-setup
fr,/fr/2034-World-Cup,/2034-World-Cup,/blog/2034-World-Cup
fr,/fr/about-General-Organization-for-Social-Insurance-in-Saudi-Arabia,/about-General-Organization-for-Social-Insurance-in-Saudi-Arabia,/blog/about-General-Organization-for-Social-Insurance-in-Saudi-Arabia
fr,/fr/about-kingdom,/about-kingdom,/about-kingdom
fr,/fr/about-Saudi-Post-SPL,/about-Saudi-Post-SPL,/blog/about-Saudi-Post-SPL
fr,/fr/about-us,/about-us,/services/about-us
fr,/fr/ameliorer-lexperience-des-employes-grace-aux-services-rh,/Enhancing-Employee-Experience-Through-HR-Services,/blog/Enhancing-Employee-Experience-Through-HR-Services
fr,/fr/Banque-Saoudienne-d'Export-Import,/Saudi-Export-Import,/blog/Saudi-Export-Import
fr,/fr/branch-setup-in-saudi-arabia,/business-setup,/services/business-setup
fr,/fr/business-incubators,/business-incubators,/services/business-incubators
fr,/fr/business-setup,/business-setup,/services/business-setup
fr,/fr/business-setup-1,/business-setup,/services/business-setup
fr,/fr/Business-Setup-for-Foreigners-in-Saudi-Arabia,/business-setup,/services/business-setup
fr,/fr/career,/career,/career
fr,/fr/Certificat-de-saoudisation-et-de-Nitaqat,/Saudization-And-Nitaqat-System,/blog/Saudization-And-Nitaqat-System
fr,/fr/consultation-services,/consultation-services,/services/consultation-services
fr,/fr/coworking-spaces,/coworking-spaces,/services/coworking-spaces
fr,/fr/en/hr-services,/hr-services,/services/hr-services
fr,/fr/free-zone-company-in-saudi-arabia,/free-zone-company-in-saudi-arabia,/blog/free-zone-company-in-saudi-arabia
fr,/fr/free-zones-ksa,/free-zones-ksa,/services/free-zones-ksa
fr,/fr/free-zones-license-in-saudi-arabia,/free-zones-license-in-saudi-arabia,/blog/free-zones-license-in-saudi-arabia
fr,/fr/front,/front,/
fr,/fr/hr-packages,/hr-packages,/hr-packages
fr,/fr/hr-services,/hr-services,/services/hr-services
fr,/fr/investment-opportunities,/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia,/blog/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia
fr,/fr/LEAP-2025,/LEAP-2025,/blog/LEAP-2025
fr,/fr/legal-policy,/legal-policy,/services/legal-policy
fr,/fr/Life-in-Saudi-Arabia,/Life-in-Saudi-Arabia,/blog/Life-in-Saudi-Arabia
fr,/fr/Ministère-de-l'Investissement-en-Arabie-Saoudite,/Ministry-of-Investment-in-Saudi-Arabia,/blog/Ministry-of-Investment-in-Saudi-Arabia
fr,/fr/national-address-and-office-service,/national-address-and-office-service,/services/national-address-and-office-service
fr,/fr/Opportunités-investissement-en-Arabie-Saoudite,/Investment-Opportunities-in-Saudi-Arabia,/blog/Investment-Opportunities-in-Saudi-Arabia
fr,/fr/other-legal-information,/other-legal-information,/services/other-legal-information
fr,/fr/pourquoi-investir-en-arabie-saoudite-un-guide-concis-pour-les-investisseurs-etrangers,/Why-Invest-in-Saudi-Arabia,/services/Why-Invest-in-Saudi-Arabia
fr,/fr/premium-residency-saudi-arabia,/premium-residency-saudi-arabia,/services/premium-residency-saudi-arabia
fr,/fr/privacy-policy,/privacy-policy,/services/privacy-policy
fr,/fr/pro-gro-services-streamline-your-saudi-business-setup,/pro-gro-services-streamline-your-saudi-business-setup,/services/pro-gro-services-streamline-your-saudi-business-setup
fr,/fr/Quality-of-Life-in-Saudi-Arabia,/Quality-of-Life-in-Saudi-Arabia,/blog/Quality-of-Life-in-Saudi-Arabia
fr,/fr/Register-Your-Company-in-Saudi-Arabia,/business-setup,/services/business-setup
fr,/fr/rhq-license-mena-license,/rhq-license-mena-license,/services/rhq-license-mena-license
fr,/fr/Saudi-Arabia-and-Italy-Sign-Energy-Cooperation-Agreement,/Saudi-Arabia-and-Italy-Sign-Energy-Cooperation-Agreement,/blog/Saudi-Arabia-and-Italy-Sign-Energy-Cooperation-Agreement
fr,/fr/Saudi-Arabian-Laws,/Saudi-Arabian-Laws,/blog/Saudi-Arabian-Laws
fr,/fr/saudi-partners,/saudi-partners,/services/saudi-partners
fr,/fr/set-your-company-saudi-arabia-motaded,/business-setup,/services/business-setup
fr,/fr/special-economic-zones-saudi-arabia,/special-economic-zones-saudi-arabia,/services/special-economic-zones-saudi-arabia
fr,/fr/Subsidiary-Companies-in-Saudi-Arabia,/Subsidiary-Companies-in-Saudi-Arabia,/blog/Subsidiary-Companies-in-Saudi-Arabia
fr,/fr/Taxes-in-Saudi-Arabia,/Taxes-in-Saudi-Arabia,/blog/Taxes-in-Saudi-Arabia
fr,/fr/translation-services,/translation-services,/services/translation-services
fr,/fr/type-license,/type-license,/blog/type-license
fr,/fr/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia,/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia,/blog/Unlocking-Investment-Opportunities-in-Various-Commercial-Activities-in-Saudi-Arabia
fr,/fr/visa-issuance,/visa-issuance,/services/visa-issuance
fr,/fr/vision-2030,/vision-2030,/blog/vision-2030
fr,/fr/what-neom,/what-neom,/blog/what-neom
fr,/fr/who-we-are,/who-we-are,/services/who-we-are
fr,/fr/why-invest-saudi-arabia-concise-guide-foreign-investors,/why-invest-saudi-arabia-concise-guide-foreign-investors,/blog/why-invest-saudi-arabia-concise-guide-foreign-investors
