title,status,langcode,translation_source_title,body,body_summary,field_short_description,field_country_name,field_type,field_relationship_focus,field_external_link_uri,field_external_link_title,field_priority,field_featured,field_meta_tags_json,field_logo_mid,field_chamber_featured_stats_json,path_alias
"مجلس الأعمال والمهن الهندي الرياض",1,ar,"Indian Business and Professional Council Riyadh","<p><strong>مجلس الأعمال والمهن الهندي الرياض</strong>. IBPC الرياض: شبكة أعمال الجالية، فعاليات مهنية، وربط SME بين الهند والسعودية—ibpc-ksa.com.</p><p>يدعم IBPC الرياض المهنيين والشركات الهندية ببرامج مجتمعية ولقاءات قطاعية وإرشاد للوثائق للإقامات الطويلة. يكمل قنوات القنصلية بنصائح تشغيلية من الأقران حول المدارس والبنوك وتسجيل الموردين.</p>","IBPC الرياض: شبكة أعمال الجالية، فعاليات مهنية، وربط SME بين الهند والسعودية—ibpc-ksa.com. يدعم IBPC الرياض المهنيين والشركات الهندية ببرامج مجتمعية ولقاءات قطاعية وإرشاد للوثائق للإقامات الطويلة. يكمل قنوات القنصلية بنصائح تشغيلية من الأقران حول المدارس والبنوك وتسجيل الموردين.","IBPC الرياض: شبكة أعمال الجالية، فعاليات مهنية، وربط SME بين الهند والسعودية—ibpc-ksa.com.",India,trade_association,"يدعم IBPC الرياض المهنيين والشركات الهندية ببرامج مجتمعية ولقاءات قطاعية وإرشاد للوثائق للإقامات الطويلة. يكمل قنوات القنصلية بنصائح تشغيلية من الأقران حول المدارس والبنوك وتسجيل الموردين.",https://www.ibpc-ksa.com,ibpc-ksa.com,11,0,"{""title"":""IBPC الرياض: مجلس الأعمال الهندي"",""description"":""مجلس الأعمال والمهن الهندي في الرياض: شبكات وفعاليات ودعم للشركات الهندية."",""keywords"":""IBPC الرياض,أعمال هندية السعودية""}",,"[""شبكة جالية"",""لقاءات قطاعية"",""دعم وثائق الإقامة""]",/chambers/indian-business-and-professional-council-riyadh
"مجلس الأعمال الكندي الرياض",1,ar,"Canadian Business Council Riyadh","<p><strong>مجلس الأعمال الكندي الرياض</strong>. CBC الرياض: دعوة تجارية كندية، فعاليات أعضاء، ومعلومات سوق للشركات الكندية—cbcksa.com.</p><p>يربط مجلس الأعمال الكندي في الرياض مصدري الطيران والزراعة والتعليم وخدمات الطاقة بالمشترين والجهات التنظيمية عبر برامج منظمة. يستخدمه الأعضاء لمقارنة جداول الاعتماد ونماذج الشراكة المحلية قبل المناقصات الكبيرة.</p>","CBC الرياض: دعوة تجارية كندية، فعاليات أعضاء، ومعلومات سوق للشركات الكندية—cbcksa.com. يربط مجلس الأعمال الكندي في الرياض مصدري الطيران والزراعة والتعليم وخدمات الطاقة بالمشترين والجهات التنظيمية عبر برامج منظمة. يستخدمه الأعضاء لمقارنة جداول الاعتماد ونماذج الشراكة المحلية قبل","CBC الرياض: دعوة تجارية كندية، فعاليات أعضاء، ومعلومات سوق للشركات الكندية—cbcksa.com.",Canada,business_council,"يربط مجلس الأعمال الكندي في الرياض مصدري الطيران والزراعة والتعليم وخدمات الطاقة بالمشترين والجهات التنظيمية عبر برامج منظمة. يستخدمه الأعضاء لمقارنة جداول الاعتماد ونماذج الشراكة المحلية قبل",https://www.cbcksa.com,cbcksa.com,12,0,"{""title"":""مجلس الأعمال الكندي الرياض: تجارة كندا–السعودية"",""description"":""نظرة CBC الرياض للشركات الكندية: دعوة وشبكات وسياق سوق سعودي."",""keywords"":""CBC الرياض,كندا السعودية تجارة""}",,"[""قطاعات متعددة"",""برامج منظمة"",""مناقصات كبرى""]",/chambers/canadian-business-council-riyadh
"المجلس التجاري الأسترالي السعودي",1,ar,"Australian Saudi Business Council","<p><strong>المجلس التجاري الأسترالي السعودي</strong>. روابط أعمال أستراليا–السعودية: زراعة وتعليم وموارد عبر برامج Austrade.</p><p>يوجه المجلس التجاري الأسترالي السعودي معلومات Austrade لخدمات التعليم والتقنية الزراعية وتصدير معدات التعدين. تستخدمه المؤسسات الصغيرة لترتيب مشاريع تجريبية مع موزعين يفهمون التفتيش السعودي وتوقعات ما بعد البيع.</p>","روابط أعمال أستراليا–السعودية: زراعة وتعليم وموارد عبر برامج Austrade. يوجه المجلس التجاري الأسترالي السعودي معلومات Austrade لخدمات التعليم والتقنية الزراعية وتصدير معدات التعدين. تستخدمه المؤسسات الصغيرة لترتيب مشاريع تجريبية مع موزعين يفهمون التفتيش السعودي وتوقعات","روابط أعمال أستراليا–السعودية: زراعة وتعليم وموارد عبر برامج Austrade.",Australia,business_council,"يوجه المجلس التجاري الأسترالي السعودي معلومات Austrade لخدمات التعليم والتقنية الزراعية وتصدير معدات التعدين. تستخدمه المؤسسات الصغيرة لترتيب مشاريع تجريبية مع موزعين يفهمون التفتيش السعودي وتوقعات",https://www.austrade.gov.au,Austrade,13,0,"{""title"":""المجلس التجاري الأسترالي السعودي: تجارة ثنائية"",""description"":""كيف تتفاعل الشركات الأسترالية مع المشترين السعوديين عبر المجلس وبرامج Austrade."",""keywords"":""أستراليا السعودية,Austrade""}",,"[""تعليم وزِراعة ومعدات"",""مشاريع تجريبية"",""موزعون محليون""]",/chambers/australian-saudi-business-council
"المجلس التجاري الإيطالي السعودي",1,ar,"Italian Saudi Business Council","<p><strong>المجلس التجاري الإيطالي السعودي</strong>. مجلس إيطاليا–السعودية: تصميم وهندسة وتصنيع عبر شبكات مرتبطة بـ Confindustria.</p><p>يسلط المجلس التجاري الإيطالي السعودي الضوء على مسارات الآلات ومكونات السيارات والسلع الفاخرة حيث تهم سمعة الجودة الإيطالية. يقترن المشغلون بمقدمات المجلس ومستشاري المطابقة والتوزيع عند دخول قنوات التجارة الحديثة.</p>","مجلس إيطاليا–السعودية: تصميم وهندسة وتصنيع عبر شبكات مرتبطة بـ Confindustria. يسلط المجلس التجاري الإيطالي السعودي الضوء على مسارات الآلات ومكونات السيارات والسلع الفاخرة حيث تهم سمعة الجودة الإيطالية. يقترن المشغلون بمقدمات المجلس ومستشاري المطابقة والتوزيع عند دخول قنوات","مجلس إيطاليا–السعودية: تصميم وهندسة وتصنيع عبر شبكات مرتبطة بـ Confindustria.",Italy,business_council,"يسلط المجلس التجاري الإيطالي السعودي الضوء على مسارات الآلات ومكونات السيارات والسلع الفاخرة حيث تهم سمعة الجودة الإيطالية. يقترن المشغلون بمقدمات المجلس ومستشاري المطابقة والتوزيع عند دخول قنوات",https://www.assolombarda.it,Assolombarda,14,0,"{""title"":""المجلس التجاري الإيطالي السعودي: أعمال ثنائية"",""description"":""دعم المصدرين والمستثمرين الإيطاليين في السعودية عبر القطاعات الصناعية والاستهلاكية."",""keywords"":""إيطاليا السعودية,Assolombarda""}",,"[""آلات ومكونات"",""سلع فاخرة"",""مطابقة وتوزيع""]",/chambers/italian-saudi-business-council
"المجلس التجاري الإسباني السعودي",1,ar,"Spanish Saudi Business Council","<p><strong>المجلس التجاري الإسباني السعودي</strong>. مجلس إسبانيا–السعودية: بنية تحتية وسياحة وصادرات غذائية مع دعم ICEX.</p><p>يدعم المجلس التجاري الإسباني السعودي مقاولي EPC ومطوري الطاقة المتجددة وعلامات الأغذية في دورات مبيعات طويلة. ينسق الأعضاء حزماً وثائقية بالإسبانية ومعايير أداء الوكلاء المحليين.</p>","مجلس إسبانيا–السعودية: بنية تحتية وسياحة وصادرات غذائية مع دعم ICEX. يدعم المجلس التجاري الإسباني السعودي مقاولي EPC ومطوري الطاقة المتجددة وعلامات الأغذية في دورات مبيعات طويلة. ينسق الأعضاء حزماً وثائقية بالإسبانية ومعايير أداء الوكلاء المحليين.","مجلس إسبانيا–السعودية: بنية تحتية وسياحة وصادرات غذائية مع دعم ICEX.",Spain,business_council,"يدعم المجلس التجاري الإسباني السعودي مقاولي EPC ومطوري الطاقة المتجددة وعلامات الأغذية في دورات مبيعات طويلة. ينسق الأعضاء حزماً وثائقية بالإسبانية ومعايير أداء الوكلاء المحليين.",https://www.icex.es,ICEX,15,0,"{""title"":""المجلس التجاري الإسباني السعودي: تجارة إسبانيا"",""description"":""مجلس ثنائي للشركات الإسبانية في السعودية: قطاعات وبعثات وترويج."",""keywords"":""إسبانيا السعودية,ICEX""}",,"[""EPC وطاقة"",""أغذية"",""وثائق ثنائية اللغة""]",/chambers/spanish-saudi-business-council
"المجلس التجاري الياباني السعودي",1,ar,"Japanese Saudi Business Council","<p><strong>المجلس التجاري الياباني السعودي</strong>. مجلس اليابان–السعودية: تصنيع متقدم وسلاسل توريد سيارات ودخول سوق بدعم JETRO.</p><p>يوائم المجلس التجاري الياباني السعودي موردي الكيريتسو وبيوت التجارة مع مشاريع رؤية 2030 الصناعية. يركز المشاركون على تخطيط الجودة واللوجستيات الاحتياطية وعقود الصيانة طويلة الأمد بما يتوافق مع توقعات المشغل السعودي.</p>","مجلس اليابان–السعودية: تصنيع متقدم وسلاسل توريد سيارات ودخول سوق بدعم JETRO. يوائم المجلس التجاري الياباني السعودي موردي الكيريتسو وبيوت التجارة مع مشاريع رؤية 2030 الصناعية. يركز المشاركون على تخطيط الجودة واللوجستيات الاحتياطية وعقود الصيانة طويلة الأمد بما يتوافق مع توقعات","مجلس اليابان–السعودية: تصنيع متقدم وسلاسل توريد سيارات ودخول سوق بدعم JETRO.",Japan,business_council,"يوائم المجلس التجاري الياباني السعودي موردي الكيريتسو وبيوت التجارة مع مشاريع رؤية 2030 الصناعية. يركز المشاركون على تخطيط الجودة واللوجستيات الاحتياطية وعقود الصيانة طويلة الأمد بما يتوافق مع توقعات",https://www.jetro.go.jp,JETRO,16,0,"{""title"":""المجلس التجاري الياباني السعودي: تعاون صناعي"",""description"":""سياق للشركات اليابانية المستثمرة والمصدرة للسعودية مع دعم JETRO."",""keywords"":""اليابان السعودية,JETRO""}",,"[""موردون وتجارة"",""مشاريع رؤية"",""صيانة طويلة""]",/chambers/japanese-saudi-business-council
"المجلس التجاري الكوري السعودي",1,ar,"Korean Saudi Business Council","<p><strong>المجلس التجاري الكوري السعودي</strong>. مجلس كوريا–السعودية: EPC وبناء سفن وبنية رقمية مع برامج KOTRA.</p><p>يدعم المجلس التجاري الكوري السعودي مجموعات التشاييبول والموردين متوسطي الحجم في مناقصات المشاريع الضخمة والمرافق. يتبادل الأعضاء أدلة عن المشاريع المشتركة وتخطيط السعودة وهياكل الضمانات المصرفية في عقود EPC الكورية.</p>","مجلس كوريا–السعودية: EPC وبناء سفن وبنية رقمية مع برامج KOTRA. يدعم المجلس التجاري الكوري السعودي مجموعات التشاييبول والموردين متوسطي الحجم في مناقصات المشاريع الضخمة والمرافق. يتبادل الأعضاء أدلة عن المشاريع المشتركة وتخطيط السعودة وهياكل الضمانات المصرفية في","مجلس كوريا–السعودية: EPC وبناء سفن وبنية رقمية مع برامج KOTRA.","South Korea",business_council,"يدعم المجلس التجاري الكوري السعودي مجموعات التشاييبول والموردين متوسطي الحجم في مناقصات المشاريع الضخمة والمرافق. يتبادل الأعضاء أدلة عن المشاريع المشتركة وتخطيط السعودة وهياكل الضمانات المصرفية في",https://www.kotra.or.kr,KOTRA,17,0,"{""title"":""المجلس التجاري الكوري السعودي: تجارة وEPC"",""description"":""نظرة للشركات الكورية في السعودية: قطاعات وبرامج ومسارات KOTRA."",""keywords"":""كوريا السعودية,KOTRA""}",,"[""EPC ومرافق"",""موردون كوريون"",""ضمانات وبنوك""]",/chambers/korean-saudi-business-council
"المجلس التجاري الصيني السعودي",1,ar,"Chinese Saudi Business Council","<p><strong>المجلس التجاري الصيني السعودي</strong>. مجلس الصين–السعودية: لوجستيات حزام وطريق وموردي مقاولين وتسهيل CCPIT.</p><p>يساعد المجلس التجاري الصيني السعودي المقاولين والمصنعين في البر الرئيسي على مواءمة وثائق HS والمطابقة ونماذج الترسيب مع حوكمة المشاريع الضخمة السعودية. ينسق المشاركون إدارة العقود ثنائية اللغة وممارسات أمن الدفع.</p>","مجلس الصين–السعودية: لوجستيات حزام وطريق وموردي مقاولين وتسهيل CCPIT. يساعد المجلس التجاري الصيني السعودي المقاولين والمصنعين في البر الرئيسي على مواءمة وثائق HS والمطابقة ونماذج الترسيب مع حوكمة المشاريع الضخمة السعودية. ينسق المشاركون إدارة العقود ثنائية اللغة","مجلس الصين–السعودية: لوجستيات حزام وطريق وموردي مقاولين وتسهيل CCPIT.",China,business_council,"يساعد المجلس التجاري الصيني السعودي المقاولين والمصنعين في البر الرئيسي على مواءمة وثائق HS والمطابقة ونماذج الترسيب مع حوكمة المشاريع الضخمة السعودية. ينسق المشاركون إدارة العقود ثنائية اللغة",https://www.ccpit.org,CCPIT,18,0,"{""title"":""المجلس التجاري الصيني السعودي: استثمار وتجارة"",""description"":""سياق للمؤسسات الصينية في السعودية: ترويج تجاري وبعثات وتعاون قطاعي."",""keywords"":""الصين السعودية,CCPIT""}",,"[""مقاولون ومصنعون"",""مطابقة ووثائق"",""عقود ثنائية اللغة""]",/chambers/chinese-saudi-business-council
"المجلس التجاري السويسري السعودي",1,ar,"Swiss Saudi Business Council","<p><strong>المجلس التجاري السويسري السعودي</strong>. مجلس سويسرا–السعودية: صناعة دقيقة وأدوية وممرات مالية عبر S-GE والقطاع الخاص السويسري.</p><p>يجمع المجلس التجاري السويسري السعودي علامات التكنولوجيا الطبية والأدوية وساعات فخمة بشبكات مناسبة للفئات عالية الثقة. يشدد الأعضاء على وثائق سلسلة التبريد وبنود حصرية للموزعين بما يتماشى مع قانون الوكالة السعودي.</p>","مجلس سويسرا–السعودية: صناعة دقيقة وأدوية وممرات مالية عبر S-GE والقطاع الخاص السويسري. يجمع المجلس التجاري السويسري السعودي علامات التكنولوجيا الطبية والأدوية وساعات فخمة بشبكات مناسبة للفئات عالية الثقة. يشدد الأعضاء على وثائق سلسلة التبريد وبنود حصرية للموزعين بما يتماشى مع قانون","مجلس سويسرا–السعودية: صناعة دقيقة وأدوية وممرات مالية عبر S-GE والقطاع الخاص السويسري.",Switzerland,business_council,"يجمع المجلس التجاري السويسري السعودي علامات التكنولوجيا الطبية والأدوية وساعات فخمة بشبكات مناسبة للفئات عالية الثقة. يشدد الأعضاء على وثائق سلسلة التبريد وبنود حصرية للموزعين بما يتماشى مع قانون",https://www.s-ge.com,S-GE,19,0,"{""title"":""المجلس التجاري السويسري السعودي: أعمال ثنائية"",""description"":""مجلس للشركات السويسري الصغيرة والكبيرة لدخول السعودية: قطاعات وبرامج وS-GE."",""keywords"":""سويسرا السعودية,S-GE""}",,"[""تكنولوجيا طبية وأدوية"",""شبكات منظمة"",""لوجستيات باردة""]",/chambers/swiss-saudi-business-council
"المجلس التجاري الهولندي السعودي",1,ar,"Dutch Saudi Business Council","<p><strong>المجلس التجاري الهولندي السعودي</strong>. مجلس هولندا–السعودية: تقانة زراعية ومياه وموانئ واقتصاد دائري مع مكاتب RVO.</p><p>يسلط المجلس التجاري الهولندي السعودي الضوء على ابتكار الأغذية والزراعة وإدارة المياه ورقمنة الموانئ حيث تتمتع الموردات الهولندية بمراجع قوية. ينسق الأعضاء الامتثال لتصدير الاتحاد الأوروبي مع تحديثات المعايير الفنية السعودية.</p>","مجلس هولندا–السعودية: تقانة زراعية ومياه وموانئ واقتصاد دائري مع مكاتب RVO. يسلط المجلس التجاري الهولندي السعودي الضوء على ابتكار الأغذية والزراعة وإدارة المياه ورقمنة الموانئ حيث تتمتع الموردات الهولندية بمراجع قوية. ينسق الأعضاء الامتثال لتصدير الاتحاد الأوروبي مع تحديثات","مجلس هولندا–السعودية: تقانة زراعية ومياه وموانئ واقتصاد دائري مع مكاتب RVO.",Netherlands,business_council,"يسلط المجلس التجاري الهولندي السعودي الضوء على ابتكار الأغذية والزراعة وإدارة المياه ورقمنة الموانئ حيث تتمتع الموردات الهولندية بمراجع قوية. ينسق الأعضاء الامتثال لتصدير الاتحاد الأوروبي مع تحديثات",https://www.rvo.nl,RVO,20,0,"{""title"":""المجلس التجاري الهولندي السعودي: تجارة هولندا"",""description"":""مجلس للشركات الهولندية في السعودية: زراعة ومياه ولوجستيات وبرامج RVO."",""keywords"":""هولندا السعودية,RVO""}",,"[""زراعة ومياه"",""موانئ رقمية"",""امتثال EU""]",/chambers/dutch-saudi-business-council
