entity_type,entity_id,langcode,bundle,title,table,column,count,old_paths,new_paths
node,96,ar,page,الإقامة المميزة في المملكة العربية السعودية,node__body,body_value,6,/ar/business-setup | /ar/premium-residency-saudi-arabia | /ar/visa-issuance | /business-setup | /premium-residency-saudi-arabia | /visa-issuance,/ar/blog/business-setup | /ar/services/premium-residency-saudi-arabia | /ar/services/visa-issuance | /services/business-setup | /services/premium-residency-saudi-arabia | /services/visa-issuance
node,96,en,page,Premium Residency in Saudi Arabia,node__body,body_value,1,/premium-residency-saudi-arabia,/services/premium-residency-saudi-arabia
node,96,zh-hans,page,沙特阿拉伯的高级居住,node__body,body_value,2,/premium-residency-saudi-arabia | /zh-hans/premium-residency-saudi-arabia,/services/premium-residency-saudi-arabia | /zh-hans/services/premium-residency-saudi-arabia
node,97,ar,page,إصدار التأشيرة,node__body,body_value,2,/ar/visa-issuance | /visa-issuance,/ar/services/visa-issuance | /services/visa-issuance
node,97,en,page,Visa Issuance,node__body,body_value,1,/visa-issuance,/services/visa-issuance
node,97,zh-hans,page,签证签发,node__body,body_value,2,/visa-issuance | /zh-hans/visa-issuance,/services/visa-issuance | /zh-hans/services/visa-issuance
node,98,ar,page,خدمات الترجمة,node__body,body_value,3,/ar/business-setup | /ar/translation-services | /business-setup,/ar/blog/business-setup | /ar/services/translation-services | /services/business-setup
node,98,en,page,Translation Services,node__body,body_value,1,/translation-services,/services/translation-services
node,98,zh-hans,page,翻译服务,node__body,body_value,4,/business-setup | /translation-services | /zh-hans/business-setup | /zh-hans/translation-services,/services/business-setup | /services/translation-services | /zh-hans/services/business-setup | /zh-hans/services/translation-services
node,99,ar,page,الخدمات الاستشارية,node__body,body_value,1,/consultation-services,/services/consultation-services
node,99,en,page,Business Consultancy Services in Saudi Arabia | Motaded Consulting,node__body,body_value,4,/Saudi-Corporate-Compliance-Services | /investment-systems-in-saudi-arabia-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /market-entry-strategy-in-KSA,/blog/Saudi-Corporate-Compliance-Services | /blog/investment-systems-in-saudi-arabia-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/market-entry-strategy-in-KSA
node,108,ar,page,سياسة الخصوصية,node__body,body_value,1,/privacy-policy,/services/privacy-policy
node,108,en,page,Privacy Policy,node__body,body_value,1,/privacy-policy,/services/privacy-policy
node,108,zh-hans,page,隐私政策,node__body,body_value,1,/privacy-policy,/services/privacy-policy
node,110,en,article,Why Invest in Saudi Arabia 2026? | Investment Sovereignty Guide - Motaded,node__body,body_value,23,/HR-Outsourcing-in-Saudi-Arabia | /MISA-Investment-License | /Ministry-of-Commerce-in-Saudi-Arabia | /Ministry-of-Investment-in-Saudi-Arabia | /Regional-Headquarters-in-Saudi-Arabia | /Saudi-Corporate-Compliance-Services | /Steps-for-Business-Setup-in-KSA | /ZATCA | /about-Qiwa-Platform | /company-registration-in-saudi-arabia | /company-registration-in-saudi-arabia-comprehensive-guide | /establishing-a-company-in-saudi-arabia-comprehensive-guide | /freedom-of-ownership-in-saudi-arabia-investors-guide | /home | /industrial-cities-saudi-arabia-comprehensive-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /market-entry-strategy-in-KSA | /ministry-of-foreign-affairs-saudi-business-encyclopedic-guide | /opening-bank-account-saudi-arabia-investors-guide-2026 | /rhq-formation-saudi-arabia-comprehensive-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/HR-Outsourcing-in-Saudi-Arabia | /blog/MISA-Investment-License | /blog/Ministry-of-Commerce-in-Saudi-Arabia | /blog/Ministry-of-Investment-in-Saudi-Arabia | /blog/Regional-Headquarters-in-Saudi-Arabia | /blog/Saudi-Corporate-Compliance-Services | /blog/Steps-for-Business-Setup-in-KSA | /blog/ZATCA | /blog/about-Qiwa-Platform | /blog/company-registration-in-saudi-arabia | /blog/company-registration-in-saudi-arabia-comprehensive-guide | /blog/establishing-a-company-in-saudi-arabia-comprehensive-guide | /blog/freedom-of-ownership-in-saudi-arabia-investors-guide | /services/home | /blog/industrial-cities-saudi-arabia-comprehensive-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/market-entry-strategy-in-KSA | /blog/ministry-of-foreign-affairs-saudi-business-encyclopedic-guide | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/rhq-formation-saudi-arabia-comprehensive-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,110,zh-hans,article,为何投资沙特阿拉伯？外国投资者简明指南,node__body,body_value,4,/business-setup | /vision-2030 | /zh-hans/business-setup | /zh-hans/vision-2030,/services/business-setup | /blog/vision-2030 | /zh-hans/services/business-setup | /zh-hans/blog/vision-2030
node,119,ar,article,سجل شركتك في المملكة العربية السعودية,node__body,body_value,1,/ar/why-invest-saudi-arabia-concise-guide-foreign-investors,/ar/blog/why-invest-saudi-arabia-concise-guide-foreign-investors
node,119,en,article,Company Registration in Saudi Arabia 2026 | Licensing & Procedural Sovereignty Guide - Motaded,node__body,body_value,26,/Articles-of-Association | /Articles-of-Association-in-Saudi-Arabia | /Guide-to-Amending-the-MISA-Investment-License | /HR-Outsourcing-in-Saudi-Arabia | /MISA-Investment-License | /Ministry-of-Commerce-in-Saudi-Arabia | /Ministry-of-Investment-in-Saudi-Arabia | /PRO-services-in-Saudi-Arabia | /Steps-for-Business-Setup-in-KSA | /The-Comprehensive-Guide-to-Saudi-Business-Center | /Wage-Protection-System-in-saudi-arabia | /ZATCA | /about-Qiwa-Platform | /cash-flows-in-saudi-arabia-financial-guide | /company-registration-in-saudi-arabia | /company-registration-in-saudi-arabia-comprehensive-guide | /facilitating-sovereign-financial-procedures-saudi-arabia-guide | /freedom-of-ownership-in-saudi-arabia-investors-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /legal-translation-services-in-saudi-arabia | /market-entry-strategy-in-KSA | /opening-bank-account-saudi-arabia-investors-guide-2026 | /professional-staff-saudi-arabia-management-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/services/Articles-of-Association | /blog/Articles-of-Association-in-Saudi-Arabia | /blog/Guide-to-Amending-the-MISA-Investment-License | /blog/HR-Outsourcing-in-Saudi-Arabia | /blog/MISA-Investment-License | /blog/Ministry-of-Commerce-in-Saudi-Arabia | /blog/Ministry-of-Investment-in-Saudi-Arabia | /blog/PRO-services-in-Saudi-Arabia | /blog/Steps-for-Business-Setup-in-KSA | /blog/The-Comprehensive-Guide-to-Saudi-Business-Center | /blog/Wage-Protection-System-in-saudi-arabia | /blog/ZATCA | /blog/about-Qiwa-Platform | /blog/cash-flows-in-saudi-arabia-financial-guide | /blog/company-registration-in-saudi-arabia | /blog/company-registration-in-saudi-arabia-comprehensive-guide | /blog/facilitating-sovereign-financial-procedures-saudi-arabia-guide | /blog/freedom-of-ownership-in-saudi-arabia-investors-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/legal-translation-services-in-saudi-arabia | /blog/market-entry-strategy-in-KSA | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/professional-staff-saudi-arabia-management-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,119,zh-hans,article,在沙特阿拉伯注册您的公司,node__body,body_value,1,/zh-hans/why-invest-saudi-arabia-concise-guide-foreign-investors,/zh-hans/blog/why-invest-saudi-arabia-concise-guide-foreign-investors
node,127,ar,article,الموارد البشرية في السعودية 2026 | دليل السيادة الإجرائية والتحول الرقمي - متعدد,node__body,body_value,15,/HR-Outsourcing-in-Saudi-Arabia | /PRO-services-in-Saudi-Arabia | /Saudi-Corporate-Compliance-Services | /Steps-for-Business-Setup-in-KSA | /Wage-Protection-System-in-saudi-arabia | /ZATCA | /about-Qiwa-Platform | /home | /industrial-cities-saudi-arabia-comprehensive-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /opening-bank-account-saudi-arabia-investors-guide-2026 | /professional-staff-saudi-arabia-management-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/HR-Outsourcing-in-Saudi-Arabia | /blog/PRO-services-in-Saudi-Arabia | /blog/Saudi-Corporate-Compliance-Services | /blog/Steps-for-Business-Setup-in-KSA | /blog/Wage-Protection-System-in-saudi-arabia | /blog/ZATCA | /blog/about-Qiwa-Platform | /services/home | /blog/industrial-cities-saudi-arabia-comprehensive-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/professional-staff-saudi-arabia-management-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,127,en,article,HR in Saudi Arabia 2026 | Procedural Sovereignty & Digital Transformation Guide - Motaded,node__body,body_value,15,/HR-Outsourcing-in-Saudi-Arabia | /PRO-services-in-Saudi-Arabia | /Saudi-Corporate-Compliance-Services | /Steps-for-Business-Setup-in-KSA | /Wage-Protection-System-in-saudi-arabia | /ZATCA | /about-Qiwa-Platform | /home | /industrial-cities-saudi-arabia-comprehensive-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /opening-bank-account-saudi-arabia-investors-guide-2026 | /professional-staff-saudi-arabia-management-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/HR-Outsourcing-in-Saudi-Arabia | /blog/PRO-services-in-Saudi-Arabia | /blog/Saudi-Corporate-Compliance-Services | /blog/Steps-for-Business-Setup-in-KSA | /blog/Wage-Protection-System-in-saudi-arabia | /blog/ZATCA | /blog/about-Qiwa-Platform | /services/home | /blog/industrial-cities-saudi-arabia-comprehensive-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/professional-staff-saudi-arabia-management-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,127,zh-hans,article,人力资源服务,node__body,body_value,4,/hr-services | /visa-issuance | /zh-hans/hr-services | /zh-hans/visa-issuance,/services/hr-services | /services/visa-issuance | /zh-hans/services/hr-services | /zh-hans/services/visa-issuance
node,128,ar,page,المناطق الاقتصادية الخاصة الحرة في السعودية,node__body,body_value,2,/ar/free-zones-ksa | /free-zones-ksa,/ar/services/free-zones-ksa | /services/free-zones-ksa
node,132,ar,article,الضرائب في السعودية 2026 | دليل السيادة الضريبية والزكاة - متعدد,node__body,body_value,16,/HR-Outsourcing-in-Saudi-Arabia | /Steps-for-Business-Setup-in-KSA | /about-Qiwa-Platform | /company-registration-in-saudi-arabia | /company-registration-in-saudi-arabia-comprehensive-guide | /establishing-a-company-in-saudi-arabia-comprehensive-guide | /facilitating-sovereign-financial-procedures-saudi-arabia-guide | /freedom-of-ownership-in-saudi-arabia-investors-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /legal-translation-services-in-saudi-arabia | /market-entry-strategy-in-KSA | /professional-staff-saudi-arabia-management-guide | /rhq-formation-saudi-arabia-comprehensive-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/HR-Outsourcing-in-Saudi-Arabia | /blog/Steps-for-Business-Setup-in-KSA | /blog/about-Qiwa-Platform | /blog/company-registration-in-saudi-arabia | /blog/company-registration-in-saudi-arabia-comprehensive-guide | /blog/establishing-a-company-in-saudi-arabia-comprehensive-guide | /blog/facilitating-sovereign-financial-procedures-saudi-arabia-guide | /blog/freedom-of-ownership-in-saudi-arabia-investors-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/legal-translation-services-in-saudi-arabia | /blog/market-entry-strategy-in-KSA | /blog/professional-staff-saudi-arabia-management-guide | /blog/rhq-formation-saudi-arabia-comprehensive-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,132,en,article,Taxation in Saudi Arabia 2026 | Investment Sovereignty & Zakat Guide - Motaded,node__body,body_value,17,/HR-Outsourcing-in-Saudi-Arabia | /Steps-for-Business-Setup-in-KSA | /about-Qiwa-Platform | /company-registration-in-saudi-arabia | /company-registration-in-saudi-arabia-comprehensive-guide | /establishing-a-company-in-saudi-arabia-comprehensive-guide | /facilitating-sovereign-financial-procedures-saudi-arabia-guide | /freedom-of-ownership-in-saudi-arabia-investors-guide | /legal-consultant-in-saudi-arabia-investor-support-2026 | /legal-translation-services-in-saudi-arabia | /market-entry-strategy-in-KSA | /opening-bank-account-saudi-arabia-investors-guide-2026 | /professional-staff-saudi-arabia-management-guide | /rhq-formation-saudi-arabia-comprehensive-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/HR-Outsourcing-in-Saudi-Arabia | /blog/Steps-for-Business-Setup-in-KSA | /blog/about-Qiwa-Platform | /blog/company-registration-in-saudi-arabia | /blog/company-registration-in-saudi-arabia-comprehensive-guide | /blog/establishing-a-company-in-saudi-arabia-comprehensive-guide | /blog/facilitating-sovereign-financial-procedures-saudi-arabia-guide | /blog/freedom-of-ownership-in-saudi-arabia-investors-guide | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/legal-translation-services-in-saudi-arabia | /blog/market-entry-strategy-in-KSA | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/professional-staff-saudi-arabia-management-guide | /blog/rhq-formation-saudi-arabia-comprehensive-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,132,zh-hans,article,沙特阿拉伯的税收,node__body,body_value,6,/Taxes-in-Saudi-Arabia | /business-setup | /free-zones-ksa | /zh-hans/Taxes-in-Saudi-Arabia | /zh-hans/business-setup | /zh-hans/free-zones-ksa,/blog/Taxes-in-Saudi-Arabia | /services/business-setup | /services/free-zones-ksa | /zh-hans/blog/Taxes-in-Saudi-Arabia | /zh-hans/services/business-setup | /zh-hans/services/free-zones-ksa
node,133,en,article,LEAP 2025,node__body,body_value,1,/business-setup,/services/business-setup
node,133,zh-hans,article,飞跃2025,node__body,body_value,2,/business-setup | /zh-hans/business-setup,/services/business-setup | /zh-hans/services/business-setup
node,135,en,article,Developed Nitaqat System Saudi Arabia 2026 | Localization Sovereignty Guide - Motaded,node__body,body_value,22,/HR-Outsourcing-in-Saudi-Arabia | /MISA-Investment-License | /Ministry-of-Commerce-in-Saudi-Arabia | /Ministry-of-Investment-in-Saudi-Arabia | /PRO-services-in-Saudi-Arabia | /Saudi-Corporate-Compliance-Services | /Steps-for-Business-Setup-in-KSA | /Wage-Protection-System-in-saudi-arabia | /ZATCA | /about-Qiwa-Platform | /calculating-setup-and-renewal-costs-saudi-arabia-encyclopedia | /company-registration-in-saudi-arabia | /company-registration-in-saudi-arabia-comprehensive-guide | /establishing-a-company-in-saudi-arabia-comprehensive-guide | /home | /legal-consultant-in-saudi-arabia-investor-support-2026 | /market-entry-strategy-in-KSA | /opening-bank-account-saudi-arabia-investors-guide-2026 | /professional-staff-saudi-arabia-management-guide | /starting-a-company-in-saudi-arabia | /starting-a-company-in-saudi-arabia-guide | /tax-system-saudi-arabia-wht-vat-cit-guide,/blog/HR-Outsourcing-in-Saudi-Arabia | /blog/MISA-Investment-License | /blog/Ministry-of-Commerce-in-Saudi-Arabia | /blog/Ministry-of-Investment-in-Saudi-Arabia | /blog/PRO-services-in-Saudi-Arabia | /blog/Saudi-Corporate-Compliance-Services | /blog/Steps-for-Business-Setup-in-KSA | /blog/Wage-Protection-System-in-saudi-arabia | /blog/ZATCA | /blog/about-Qiwa-Platform | /blog/calculating-setup-and-renewal-costs-saudi-arabia-encyclopedia | /blog/company-registration-in-saudi-arabia | /blog/company-registration-in-saudi-arabia-comprehensive-guide | /blog/establishing-a-company-in-saudi-arabia-comprehensive-guide | /services/home | /blog/legal-consultant-in-saudi-arabia-investor-support-2026 | /blog/market-entry-strategy-in-KSA | /blog/opening-bank-account-saudi-arabia-investors-guide-2026 | /blog/professional-staff-saudi-arabia-management-guide | /blog/starting-a-company-in-saudi-arabia | /blog/starting-a-company-in-saudi-arabia-guide | /blog/tax-system-saudi-arabia-wht-vat-cit-guide
node,135,zh-hans,article,沙特化和 Nitaqat 证书,node__body,body_value,2,/business-setup | /zh-hans/business-setup,/services/business-setup | /zh-hans/services/business-setup
node,136,ar,article,تعزيز تجربة الموظف من خلال خدمات الموارد البشرية,node__body,body_value,2,/ar/pro-gro-services-streamline-your-saudi-business-setup | /hr-services,/ar/services/pro-gro-services-streamline-your-saudi-business-setup | /services/hr-services
