vocabulary_machine_name,tid,term_name,langcode,vocabulary_label
tags,140,Guidelines,en,Tags
tags,141,قائمة,ar,Tags
tags,141,Checklist,en,Tags
tags,150,الاستثمار في السعودية,en,Tags
tags,160,Branch of Foreign Company in Saudi Arabia,en,Tags
tags,161,在沙特阿拉伯设立外国公司分公司的优势,en,Tags
tags,162,Saudi Arabia Permanent Residency Guide: Green Card & Golden Visa,en,Tags
tags,163,Seamless Business Setup in KSA: Essential Steps,en,Tags
tags,182,investment,en,Tags
taxonomy,147,دعم الأعمال,ar,Service type (taxonomy)
taxonomy,147,Business Support,en,Service type (taxonomy)
taxonomy,148,الإقامة والتأشيرات,ar,Service type (taxonomy)
taxonomy,148,Residency & Visas,en,Service type (taxonomy)
taxonomy,149,الموارد البشرية,ar,Service type (taxonomy)
taxonomy,149,HR Services,en,Service type (taxonomy)
taxonomy,152,خدمات محاسبية,ar,Service type (taxonomy)
taxonomy,152,Accounting services,en,Service type (taxonomy)
taxonomy,153,خدمة تسجيل الموردين,ar,Service type (taxonomy)
taxonomy,153,Supplier registration service,en,Service type (taxonomy)
taxonomy,154,خدمات مساحات المكاتب,ar,Service type (taxonomy)
taxonomy,154,Office space services,en,Service type (taxonomy)
taxonomy,156,خدمات العلاقات الحكومية,ar,Service type (taxonomy)
taxonomy,156,Government Relations Services,en,Service type (taxonomy)
taxonomy,181,Investment,en,Service type (taxonomy)
taxonomy,183,Technology,en,Service type (taxonomy)
taxonomy,230,Compliance,en,Service type (taxonomy)
