title,field_category,field_country,field_document,field_document_type,field_featured,field_source_link,field_platforms,field_year,field_sector,field_sector_pages,field_taxonomy,field_short_description
VAT Registration Guide,Tax,Saudi Arabia,vat_guide.pdf,Guide,1,https://zatca.gov.sa,ZATCA,2024,Finance & Fintech,Finance & Fintech,Accounting services,"Guide for VAT registration including eligibility, documentation, filing, and compliance obligations. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Corporate Tax Overview,Tax,Saudi Arabia,tax_overview.pdf,Guide,1,https://zatca.gov.sa,ZATCA,2024,Finance & Fintech,Finance & Fintech,Accounting services,"Overview of corporate taxation rules, reporting obligations, and compliance processes. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
VAT Return Form,Tax,Saudi Arabia,vat_return.pdf,Form,0,https://zatca.gov.sa,ZATCA,2024,Finance & Fintech,Technology,Accounting services,"Form used for submitting VAT returns with calculation of input/output tax and compliance reporting. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Withholding Tax Guide,Tax,Saudi Arabia,withholding_tax.pdf,Guide,0,https://zatca.gov.sa,ZATCA,2023,Finance & Fintech,Energy,Accounting services,"Guide explaining withholding tax rules, rates, and reporting obligations for cross-border payments. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Excise Tax Guide,Tax,Saudi Arabia,excise_tax.pdf,Guide,0,https://zatca.gov.sa,ZATCA,2023,Finance & Fintech,Tourism,Accounting services,"Overview of excise tax regulations including applicable goods and compliance procedures. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Industrial License Application,Licensing,Saudi Arabia,industrial_license.pdf,Form,1,https://modon.gov.sa,Balady,2024,Manufacturing,Manufacturing,Investment,"Application form required to obtain an industrial license including production and facility details. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Factory Setup Guide,Licensing,Saudi Arabia,factory_setup.pdf,Guide,1,https://modon.gov.sa,Balady,2024,Manufacturing,Manufacturing,Investment,"Guide for establishing factories including site selection, infrastructure, and regulatory approvals. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Municipality License Guide,Licensing,Saudi Arabia,municipality.pdf,Guide,0,https://balady.gov.sa,Balady,2023,Construction & Infrastructure,Construction & Infrastructure,Business Support,"Guide for obtaining municipality permits including inspections and compliance requirements. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Commercial License Renewal Form,Licensing,Saudi Arabia,license_renewal.pdf,Form,0,https://mci.gov.sa,Saudi Business Center (Meras),2024,General,Logistics & Transport,Business Support,"Form for renewing commercial licenses including compliance checks and documentation. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Import License Regulation,Licensing,Saudi Arabia,import_license.pdf,Regulation,0,https://mci.gov.sa,FASAH,2023,Logistics & Transport,Logistics & Transport,Supplier registration service,"Regulation governing import licensing procedures and approval processes. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Product Compliance Guide,Compliance,Saudi Arabia,product_compliance.pdf,Guide,1,https://saber.sa,SABER,2024,Manufacturing,Manufacturing,Compliance,"Guide to product certification requirements and SABER compliance procedures. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Import Documentation Guide,Compliance,Saudi Arabia,import_docs.pdf,Guide,0,https://zatca.gov.sa,FASAH,2023,Logistics & Transport,Logistics & Transport,Compliance,"Guide outlining documentation required for importing goods into Saudi Arabia. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Customs Regulation,Compliance,Saudi Arabia,customs.pdf,Regulation,0,https://zatca.gov.sa,FASAH,2023,Logistics & Transport,Logistics & Transport,Compliance,"Official customs regulations covering duties, procedures, and compliance. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Risk Assessment Template,Compliance,Saudi Arabia,risk_template.pdf,Template,0,https://sama.gov.sa,Etimad,2023,Finance & Fintech,Finance & Fintech,Business Support,"Template for identifying and evaluating operational and regulatory risks. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Internal Audit Template,Compliance,Saudi Arabia,audit_template.pdf,Template,0,https://cma.org.sa,Etimad,2023,Finance & Fintech,Finance & Fintech,Business Support,"Template for conducting internal audits and compliance checks. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Investment Law,Compliance,Saudi Arabia,investment_law.pdf,Law,1,https://misa.gov.sa,MISA (Ministry of Investment Saudi Arabia),2024,General,Technology,Investment,"Law governing foreign investment including rights, licensing, and legal protections. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Environmental Regulation,Compliance,Saudi Arabia,environmental.pdf,Regulation,0,https://mee.gov.sa,Balady,2023,Energy,Energy,Compliance,"Environmental compliance regulations including sustainability and licensing requirements. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Data Protection Regulation,Compliance,Saudi Arabia,data_protection.pdf,Regulation,1,https://sdaia.gov.sa,SABER,2024,Technology,Technology,Technology,"Regulation governing personal data protection and compliance requirements. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Corporate Governance Guide,Compliance,Saudi Arabia,governance.pdf,Guide,0,https://cma.org.sa,Etimad,2023,Finance & Fintech,Finance & Fintech,Business Support,"Guide outlining corporate governance best practices and compliance standards. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Anti-Money Laundering Policy,Compliance,Saudi Arabia,aml.pdf,Policy,1,https://sama.gov.sa,Etimad,2024,Finance & Fintech,Finance & Fintech,Compliance,"Policy covering AML compliance, monitoring, and reporting obligations. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Tourism Investment Guide,Business Setup,Saudi Arabia,tourism.pdf,Guide,0,https://tourism.gov.sa,MISA (Ministry of Investment Saudi Arabia),2024,Tourism,Tourism,Investment,"Guide to tourism investment opportunities including licensing and incentives. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Healthcare Licensing Guide,Licensing,Saudi Arabia,healthcare.pdf,Guide,0,https://moh.gov.sa,Najiz,2024,Healthcare,Healthcare,Government Relations Services,"Guide covering healthcare licensing requirements and regulatory approvals. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Technology Startup Guide,Business Setup,Saudi Arabia,tech_startup.pdf,Guide,1,https://misa.gov.sa,MISA (Ministry of Investment Saudi Arabia),2024,Technology,Technology,Technology,"Guide for launching startups including funding, infrastructure, and compliance. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Logistics Investment Guide,Business Setup,Saudi Arabia,logistics.pdf,Guide,0,https://transport.gov.sa,FASAH,2024,Logistics & Transport,Logistics & Transport,Investment,"Guide outlining logistics investment opportunities and sector requirements. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Construction Permit Guide,Licensing,Saudi Arabia,construction.pdf,Guide,0,https://balady.gov.sa,Balady,2023,Construction & Infrastructure,Construction & Infrastructure,Business Support,"Guide explaining construction permit approvals and compliance procedures. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Company Closure Form,Business Setup,Saudi Arabia,closure.pdf,Form,0,https://mci.gov.sa,Saudi Business Center (Meras),2023,General,General,Business Support,"Form for initiating company closure including deregistration and compliance steps. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Business Restructuring Guide,Business Setup,Saudi Arabia,restructuring.pdf,Guide,0,https://mci.gov.sa,MISA (Ministry of Investment Saudi Arabia),2023,General,General,Business Support,"Guide explaining restructuring options including mergers and acquisitions. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Payroll Template,HR,Saudi Arabia,payroll.pdf,Template,0,https://hrsd.gov.sa,Mudad,2023,General,General,HR Services,"Template for payroll management including salary calculations and compliance. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Employee Termination Policy,HR,Saudi Arabia,termination.pdf,Policy,0,https://hrsd.gov.sa,Qiwa,2023,General,General,HR Services,"Policy outlining termination procedures and legal compliance. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
Supplier Registration Guide,Compliance,Saudi Arabia,supplier.pdf,Guide,1,https://etimad.sa,Etimad,2024,General,General,Supplier registration service,"Guide for supplier registration including documentation and approval processes. This document provides detailed guidance, required documentation, procedural steps, and compliance considerations aligned with Saudi regulations, helping businesses and investors operate efficiently and avoid common legal and administrative risks."
