title,status,langcode,translation_source_title,body,body_summary,field_short_description,field_country_name,field_type,field_relationship_focus,field_external_link_uri,field_external_link_title,field_priority,field_featured,field_meta_tags_json,field_logo_mid,field_chamber_featured_stats_json,path_alias
"Indian Business and Professional Council Riyadh",1,en,,"<p><strong>Indian Business and Professional Council Riyadh</strong>. IBPC Riyadh: diaspora business network, professional events, and India–Saudi SME connectivity—ibpc-ksa.com.</p><p>IBPC Riyadh supports Indian professionals and companies with community programmes, sector meetups, and guidance on documentation for long-stay assignments. It complements embassy consular channels with operational peer advice on schools, banking, and supplier onboarding.</p>","IBPC Riyadh: diaspora business network, professional events, and India–Saudi SME connectivity—ibpc-ksa.com. IBPC Riyadh supports Indian professionals and companies with community programmes, sector meetups, and guidance on documentation for long-stay assignments. It complements embassy consular channels","IBPC Riyadh: diaspora business network, professional events, and India–Saudi SME connectivity—ibpc-ksa.com.",India,trade_association,"IBPC Riyadh supports Indian professionals and companies with community programmes, sector meetups, and guidance on documentation for long-stay assignments. It complements embassy consular channels",https://www.ibpc-ksa.com,ibpc-ksa.com,11,0,"{""title"":""IBPC Riyadh: Indian business & professional council in KSA"",""description"":""Indian Business and Professional Council in Riyadh: networking, events, and practical support for Indian businesses in Saudi Arabia."",""keywords"":""IBPC Riyadh, Indian business council Saudi Arabia, ibpc-ksa""}",,,/chambers/indian-business-and-professional-council-riyadh
"Canadian Business Council Riyadh",1,en,,"<p><strong>Canadian Business Council Riyadh</strong>. CBC Riyadh: Canadian trade advocacy, member events, and Saudi market intelligence for Canadian firms—cbcksa.com.</p><p>The Canadian Business Council in Riyadh connects aerospace, agriculture, education, and energy services exporters with Saudi buyers and regulators through curated programmes. Members use it to compare notes on certification timelines and local partnership models ahead of large tenders.</p>","CBC Riyadh: Canadian trade advocacy, member events, and Saudi market intelligence for Canadian firms—cbcksa.com. The Canadian Business Council in Riyadh connects aerospace, agriculture, education, and energy services exporters with Saudi buyers and regulators through curated programmes. Members use it to","CBC Riyadh: Canadian trade advocacy, member events, and Saudi market intelligence for Canadian firms—cbcksa.com.",Canada,business_council,"The Canadian Business Council in Riyadh connects aerospace, agriculture, education, and energy services exporters with Saudi buyers and regulators through curated programmes. Members use it to",https://www.cbcksa.com,cbcksa.com,12,0,"{""title"":""Canadian Business Council Riyadh: Canada–Saudi trade"",""description"":""CBC Riyadh overview for Canadian companies: advocacy, networking, and practical Saudi market context."",""keywords"":""Canadian Business Council Riyadh, CBC KSA, Canada Saudi trade""}",,,/chambers/canadian-business-council-riyadh
"Australian Saudi Business Council",1,en,,"<p><strong>Australian Saudi Business Council</strong>. Australia–Saudi business ties: agribusiness, education, and resources trade intelligence via Austrade programmes.</p><p>The Australian Saudi Business Council channels Austrade-led intelligence on education services, agtech, and mining equipment exports. SMEs use it to sequence pilot projects with distributors who understand Saudi inspection and after-sales expectations.</p>","Australia–Saudi business ties: agribusiness, education, and resources trade intelligence via Austrade programmes. The Australian Saudi Business Council channels Austrade-led intelligence on education services, agtech, and mining equipment exports. SMEs use it to sequence pilot projects with distributors who","Australia–Saudi business ties: agribusiness, education, and resources trade intelligence via Austrade programmes.",Australia,business_council,"The Australian Saudi Business Council channels Austrade-led intelligence on education services, agtech, and mining equipment exports. SMEs use it to sequence pilot projects with distributors who",https://www.austrade.gov.au,Austrade,13,0,"{""title"":""Australian Saudi Business Council: Australia–Saudi trade"",""description"":""How Australian companies engage Saudi buyers through council and Austrade-aligned programmes."",""keywords"":""Australian Saudi Business Council, Austrade Saudi Arabia, Australia Saudi trade""}",,,/chambers/australian-saudi-business-council
"Italian Saudi Business Council",1,en,,"<p><strong>Italian Saudi Business Council</strong>. Italy–Saudi council: design, engineering, and manufacturing partnerships via Confindustria-linked networks.</p><p>The Italian Saudi Business Council highlights machinery, automotive components, and luxury goods pathways where Italian quality credentials matter. Operators pair council introductions with conformity and retail distribution advisors when entering modern trade channels.</p>","Italy–Saudi council: design, engineering, and manufacturing partnerships via Confindustria-linked networks. The Italian Saudi Business Council highlights machinery, automotive components, and luxury goods pathways where Italian quality credentials matter. Operators pair council introductions with","Italy–Saudi council: design, engineering, and manufacturing partnerships via Confindustria-linked networks.",Italy,business_council,"The Italian Saudi Business Council highlights machinery, automotive components, and luxury goods pathways where Italian quality credentials matter. Operators pair council introductions with",https://www.assolombarda.it,Assolombarda,14,0,"{""title"":""Italian Saudi Business Council: Italy–Saudi business"",""description"":""Council supporting Italian exporters and investors in Saudi Arabia across industrial and consumer sectors."",""keywords"":""Italian Saudi Business Council, Italy Saudi trade, Assolombarda Saudi""}",,,/chambers/italian-saudi-business-council
"Spanish Saudi Business Council",1,en,,"<p><strong>Spanish Saudi Business Council</strong>. Spain–Saudi council: infrastructure, tourism, and agri-food exports with ICEX-aligned trade support.</p><p>The Spanish Saudi Business Council supports EPC contractors, renewable developers, and agri-food brands navigating long sales cycles. Members coordinate on Spanish-language documentation packs and local agent performance benchmarks.</p>","Spain–Saudi council: infrastructure, tourism, and agri-food exports with ICEX-aligned trade support. The Spanish Saudi Business Council supports EPC contractors, renewable developers, and agri-food brands navigating long sales cycles. Members coordinate on Spanish-language documentation packs and","Spain–Saudi council: infrastructure, tourism, and agri-food exports with ICEX-aligned trade support.",Spain,business_council,"The Spanish Saudi Business Council supports EPC contractors, renewable developers, and agri-food brands navigating long sales cycles. Members coordinate on Spanish-language documentation packs and",https://www.icex.es,ICEX,15,0,"{""title"":""Spanish Saudi Business Council: Spain–Saudi trade"",""description"":""Bilateral council for Spanish companies in Saudi Arabia: sectors, missions, and trade promotion context."",""keywords"":""Spanish Saudi Business Council, ICEX Saudi Arabia, Spain Saudi trade""}",,,/chambers/spanish-saudi-business-council
"Japanese Saudi Business Council",1,en,,"<p><strong>Japanese Saudi Business Council</strong>. Japan–Saudi council: advanced manufacturing, automotive supply chains, and JETRO-backed market entry.</p><p>The Japanese Saudi Business Council aligns keiretsu suppliers and trading houses with Vision 2030 industrial projects. Participants focus on quality planning, spare-parts logistics, and long-term maintenance contracts that match Saudi operator expectations.</p>","Japan–Saudi council: advanced manufacturing, automotive supply chains, and JETRO-backed market entry. The Japanese Saudi Business Council aligns keiretsu suppliers and trading houses with Vision 2030 industrial projects. Participants focus on quality planning, spare-parts logistics, and long-term","Japan–Saudi council: advanced manufacturing, automotive supply chains, and JETRO-backed market entry.",Japan,business_council,"The Japanese Saudi Business Council aligns keiretsu suppliers and trading houses with Vision 2030 industrial projects. Participants focus on quality planning, spare-parts logistics, and long-term",https://www.jetro.go.jp,JETRO,16,0,"{""title"":""Japanese Saudi Business Council: Japan–Saudi industrial cooperation"",""description"":""Council context for Japanese companies investing and exporting to Saudi Arabia with JETRO-aligned support."",""keywords"":""Japanese Saudi Business Council, JETRO Saudi Arabia, Japan Saudi trade""}",,,/chambers/japanese-saudi-business-council
"Korean Saudi Business Council",1,en,,"<p><strong>Korean Saudi Business Council</strong>. Korea–Saudi council: EPC, shipbuilding, and digital infrastructure partnerships with KOTRA programmes.</p><p>The Korean Saudi Business Council supports chaebol and mid-tier suppliers bidding into giga-projects and utilities. Members share playbooks on joint ventures, Saudization planning, and bank guarantee structures that recur in Korean-led EPC awards.</p>","Korea–Saudi council: EPC, shipbuilding, and digital infrastructure partnerships with KOTRA programmes. The Korean Saudi Business Council supports chaebol and mid-tier suppliers bidding into giga-projects and utilities. Members share playbooks on joint ventures, Saudization planning, and bank guarantee","Korea–Saudi council: EPC, shipbuilding, and digital infrastructure partnerships with KOTRA programmes.","South Korea",business_council,"The Korean Saudi Business Council supports chaebol and mid-tier suppliers bidding into giga-projects and utilities. Members share playbooks on joint ventures, Saudization planning, and bank guarantee",https://www.kotra.or.kr,KOTRA,17,0,"{""title"":""Korean Saudi Business Council: Korea–Saudi trade & EPC"",""description"":""Council overview for Korean companies in Saudi Arabia: sectors, programmes, and KOTRA-aligned entry paths."",""keywords"":""Korean Saudi Business Council, KOTRA Saudi Arabia, Korea Saudi trade""}",,,/chambers/korean-saudi-business-council
"Chinese Saudi Business Council",1,en,,"<p><strong>Chinese Saudi Business Council</strong>. China–Saudi council: Belt-and-Road logistics, contractor supply chains, and CCPIT trade facilitation.</p><p>The Chinese Saudi Business Council helps mainland contractors and manufacturers align HS documentation, conformity, and subcontracting models with Saudi mega-project governance. Participants coordinate on bilingual contract administration and payment security practices.</p>","China–Saudi council: Belt-and-Road logistics, contractor supply chains, and CCPIT trade facilitation. The Chinese Saudi Business Council helps mainland contractors and manufacturers align HS documentation, conformity, and subcontracting models with Saudi mega-project governance. Participants","China–Saudi council: Belt-and-Road logistics, contractor supply chains, and CCPIT trade facilitation.",China,business_council,"The Chinese Saudi Business Council helps mainland contractors and manufacturers align HS documentation, conformity, and subcontracting models with Saudi mega-project governance. Participants",https://www.ccpit.org,CCPIT,18,0,"{""title"":""Chinese Saudi Business Council: China–Saudi investment & trade"",""description"":""Council context for Chinese enterprises in Saudi Arabia: trade promotion, missions, and sector cooperation."",""keywords"":""Chinese Saudi Business Council, CCPIT Saudi Arabia, China Saudi trade""}",,,/chambers/chinese-saudi-business-council
"Swiss Saudi Business Council",1,en,,"<p><strong>Swiss Saudi Business Council</strong>. Switzerland–Saudi council: precision industry, pharma, and finance corridors via S-GE and Swiss private sector.</p><p>The Swiss Saudi Business Council convenes medtech, pharma, and watchmaking brands with discreet networking suited to high-trust categories. Members stress documentation for cold-chain logistics and distributor exclusivity clauses that map to Saudi agency law.</p>","Switzerland–Saudi council: precision industry, pharma, and finance corridors via S-GE and Swiss private sector. The Swiss Saudi Business Council convenes medtech, pharma, and watchmaking brands with discreet networking suited to high-trust categories. Members stress documentation for cold-chain logistics and","Switzerland–Saudi council: precision industry, pharma, and finance corridors via S-GE and Swiss private sector.",Switzerland,business_council,"The Swiss Saudi Business Council convenes medtech, pharma, and watchmaking brands with discreet networking suited to high-trust categories. Members stress documentation for cold-chain logistics and",https://www.s-ge.com,S-GE,19,0,"{""title"":""Swiss Saudi Business Council: Switzerland–Saudi business"",""description"":""Council for Swiss SMEs and corporates entering Saudi Arabia: sectors, programmes, and S-GE-aligned support."",""keywords"":""Swiss Saudi Business Council, S-GE Saudi Arabia, Switzerland Saudi trade""}",,,/chambers/swiss-saudi-business-council
"Dutch Saudi Business Council",1,en,,"<p><strong>Dutch Saudi Business Council</strong>. Netherlands–Saudi council: agritech, water, ports, and circular-economy partnerships with RVO trade desks.</p><p>The Dutch Saudi Business Council highlights agri-food innovation, water management, and port digitalisation where Dutch suppliers hold strong references. Members coordinate on EU export compliance alongside Saudi technical standards updates.</p>","Netherlands–Saudi council: agritech, water, ports, and circular-economy partnerships with RVO trade desks. The Dutch Saudi Business Council highlights agri-food innovation, water management, and port digitalisation where Dutch suppliers hold strong references. Members coordinate on EU export compliance","Netherlands–Saudi council: agritech, water, ports, and circular-economy partnerships with RVO trade desks.",Netherlands,business_council,"The Dutch Saudi Business Council highlights agri-food innovation, water management, and port digitalisation where Dutch suppliers hold strong references. Members coordinate on EU export compliance",https://www.rvo.nl,RVO,20,0,"{""title"":""Dutch Saudi Business Council: Netherlands–Saudi trade"",""description"":""Council for Dutch companies in Saudi Arabia: agritech, water, logistics, and RVO-aligned programmes."",""keywords"":""Dutch Saudi Business Council, RVO Saudi Arabia, Netherlands Saudi trade""}",,,/chambers/dutch-saudi-business-council
