nid,type,langcode,title,body_summary,categories,tags,beneficiaries,meta_title,meta_description,meta_abstract,meta_keywords,missing_body_summary,missing_categories,missing_tags,missing_beneficiaries,missing_meta_title,missing_meta_description,missing_meta_abstract,missing_meta_keywords,status
191,article,ar,منطقة رأس الخير الاقتصادية الخاصة 2026 | دليل السيادة والتمكين البحري - متعدد,,دعم الأعمال,رأس الخير الاقتصادية | الصناعات البحرية | المناطق الخاصة,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
192,article,ar,مدينة الملك عبدالله الاقتصادية 2026: الدليل الموسوعي للاستثمار الاستراتيجي والتمكين الملياري في السعودية,,دعم الأعمال,مدينة الملك عبدالله الاقتصادية | المدن الاقتصادية | الاستثمار الاستراتيجي,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
196,article,ar,الإقامة ورخص العمل في السعودية 2026 | دليل السيادة والامتثال المالي - متعدد,,الإقامة والتأشيرات,تكاليف الإقامة | رسوم رخص العمل | تخطيط القوى العاملة,فرق الموارد البشرية والقوى العاملة | فرق المالية والرواتب | أصحاب الشركات,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
224,article,ar,بدء النشاط التجاري في السعودية,,دعم الأعمال,بدء النشاط التجاري | إطلاق الأعمال | متطلبات السوق,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_refined_ar_batch1_body;manual_body_review
225,article,ar,خدمات تأسيس الشركات في السعودية,,دعم الأعمال,تأسيس الشركات | خدمات التأسيس | بدء الأعمال,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
226,article,ar,الحصول على ترخيص بدء العمل في السعودية,,خدمات العلاقات الحكومية,ترخيص بدء العمل | الإجراءات النظامية | الامتثال التنظيمي,فرق العلاقات الحكومية والتعقيب | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
241,article,ar,دليل رائد الأعمال لإعداد مشروع تجاري في السعودية. تعلم كيفية تحليل السوق، بناء الميزانية، واختيار الكيان القانوني المناسب لشركتك الناشئة لعام 2026.,,دعم الأعمال,خطة المشروع التجاري | تحليل السوق | تأسيس الشركات الناشئة,أصحاب الشركات | الشركات المحلية والدولية | فرق المالية والرواتب,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
242,article,ar,ابدأ مشروعك الآن - خطوات إنشاء شركة في السعودية بشكل قانوني,,دعم الأعمال,إنشاء شركة قانونيًا | خطوات التأسيس | الامتثال القانوني,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
249,article,ar,تأسيس الشركات في السعودية 2026: الدليل السيادي للبدء بنزاهة واحترافية,,دعم الأعمال,تأسيس الشركات 2026 | دليل الاستثمار | الحوكمة التشغيلية,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
283,article,ar,تسجيل الأعمال في السعودية 2026 | دليل التأسيس وبدء الشركات - متعدد,,دعم الأعمال,تسجيل الأعمال | بدء الشركات | متطلبات الدخول للسوق,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
306,article,ar,رخصة استثمار وزارة الاستثمار السعودية 2026 | دليل الاستثمار الكامل - متعدد,,دعم الأعمال,رخصة وزارة الاستثمار | الترخيص الاستثماري | إجراءات MISA,أصحاب الشركات | فرق الامتثال والشؤون القانونية | فرق العلاقات الحكومية والتعقيب,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
348,article,ar,برنامج الاعتماد المهني,,الموارد البشرية,الاعتماد المهني | التأهيل الوظيفي | امتثال الكفاءات,فرق الموارد البشرية والقوى العاملة | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_body_review
377,article,ar,لماذا تستثمر في السعودية؟ دليل موجز للمستثمرين الأجانب,,دعم الأعمال,الاستثمار في السعودية | فرص المستثمرين | بيئة الأعمال,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_body_review
499,article,ar,بنك التصدير والاستيراد السعودي (Saudi EXIM): المحرك المالي للصناعات العابرة للحدود في 2026,,دعم الأعمال,بنك التصدير والاستيراد | تمويل التجارة | الصادرات والواردات,المستوردون والمصدرون | أصحاب الشركات | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
501,article,ar,إزالة ملاحظة حماية الأجور وتحقيق الامتثال الكامل للمنشآت,,خدمات العلاقات الحكومية,إزالة ملاحظة حماية الأجور | امتثال الأجور | معالجة المخالفات,فرق العلاقات الحكومية والتعقيب | فرق الموارد البشرية والقوى العاملة | فرق المالية والرواتب,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
521,article,ar,توريد القوى العاملة,,الموارد البشرية,توريد القوى العاملة | تخطيط الموارد البشرية | حلول التوظيف,فرق الموارد البشرية والقوى العاملة | أصحاب الشركات | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
523,article,ar,فتح شركة في المملكة العربية السعودية,,دعم الأعمال,فتح شركة في السعودية | خارطة التأسيس | بدء النشاط,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
524,article,ar,تراخيص الاستثمار,,دعم الأعمال,تراخيص الاستثمار | متطلبات الترخيص | الامتثال الاستثماري,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
526,article,ar,وزارة الاستثمار في المملكة العربية السعودية,,دعم الأعمال,وزارة الاستثمار | خدمات المستثمرين | البيئة التنظيمية,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
528,news,ar,"""متعدد المحدودة"" تعزز مكانتها الاستثمارية بانضمامها الرسمي لمنصة ""ميزا"" التابعة لوزارة الاستثمار السعودية",,دعم الأعمال,منصة مِيزا | التحول الرقمي للشركات | تمكين الاستثمار,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
529,article,ar,مزايا فرع لشركة أجنبية في المملكة العربية السعودية,,دعم الأعمال,فرع شركة أجنبية | التوسع الدولي | المزايا النظامية,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_body_review
530,article,ar,الاتجاهات المستقبلية في ممارسات المسؤولية المؤسسية,,دعم الأعمال,المسؤولية المؤسسية | ممارسات ESG | حوكمة الأعمال,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
531,news,ar,"شراكة ""متعدد المحدودة"" وشركة ""سلو شان المحدودة"" في قطاع التعدين",,دعم الأعمال,شراكة استراتيجية | سلاسل إمداد التعدين | فرص الاستثمار الصناعي,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
532,news,ar,"انضمام شركة ""متعدد المحدودة"" لمنصة ""ميزا"" (MISA)",,دعم الأعمال,الانضمام لمنصة مِيزا | التكامل مع وزارة الاستثمار | الجاهزية المؤسسية,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
533,news,ar,"مشروع ""منصة متعدد الرقمية"" وإطلاقها في 2026",,دعم الأعمال,منصة متعدد الرقمية | إطلاق 2026 | الخدمات المتكاملة,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
534,article,ar,دليل المستثمر الشامل حول منطقة الرياض المتكاملة اللوجستية الخاصة,,دعم الأعمال,المنطقة اللوجستية بالرياض | سلاسل الإمداد | الاستثمار اللوجستي,أصحاب الشركات | الشركات المحلية والدولية | المستوردون والمصدرون,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
537,article,ar,كيفية التقدم بطلب للحصول على الإقامة السعودية,,الإقامة والتأشيرات,طلب الإقامة السعودية | متطلبات الإقامة | الامتثال الهجري,فرق الموارد البشرية والقوى العاملة | أصحاب الشركات | الشركات المحلية والدولية,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,manual_body_review
538,article,ar,معنى صندوق الاستثمارات العامة، استراتيجيته، وتأثيره العالمي,,دعم الأعمال,صندوق الاستثمارات العامة | الاستراتيجية الاستثمارية | الأثر العالمي,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
539,article,ar,"الدليل الشامل للمركز السعودي للأعمال (SBC) 2026: خارطة طريق الاستثمار وتأسيس الشركات برعاية ""متعدد المحدودة""",,دعم الأعمال,المركز السعودي للأعمال | تأسيس الشركات | المسار الموحد,أصحاب الشركات | فرق الامتثال والشؤون القانونية | فرق العلاقات الحكومية والتعقيب,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
540,article,ar,"دليل تجديد ترخيص وزارة الاستثمار (MISA) 2026: الشروط، الإجراءات، وحلول ""متعدد المحدودة"" للامتثال الكامل",,خدمات العلاقات الحكومية,تجديد ترخيص MISA | الامتثال الدوري | إجراءات التجديد,فرق العلاقات الحكومية والتعقيب | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
541,article,ar,"دليل تعديل ترخيص وزارة الاستثمار (MISA) 2026: كيف تواكب نمو أعمالك في السعودية مع ""متعدد المحدودة (Motaded)""؟",,خدمات العلاقات الحكومية,تعديل ترخيص MISA | تحديث النشاط | الامتثال التنظيمي,فرق العلاقات الحكومية والتعقيب | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
543,article,ar,"دليل تأسيس الشركات في السعودية 2026: خارطة الطريق المتكاملة برعاية ""متعدد المحدودة""",,دعم الأعمال,دليل تأسيس الشركات | خارطة الطريق الاستثمارية | إعداد السوق,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
544,article,ar,"دليل عمليات الأعمال في المملكة العربية السعودية 2026: الاستراتيجية التشغيلية والامتثال مع ""متعدد المحدودة""",,دعم الأعمال,عمليات الأعمال في السعودية | النموذج التشغيلي | جاهزية الامتثال,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
635,article,ar,التراخيص والمدن الصناعية في السعودية 2026 | إلغاء المقابل المالي - متعدد,,دعم الأعمال,التراخيص الصناعية | المدن الصناعية | الامتيازات التنظيمية,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
636,article,ar,"دليل ""مدن"" الصناعي 2026 الشامل | التراخيص والتمويل - متعدد",,دعم الأعمال,دليل مدن الصناعي | التراخيص الصناعية | دعم التصنيع,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
637,article,ar,دليل منصة صناعي 2026 الشامل | التراخيص والإعفاءات - متعدد,,خدمات العلاقات الحكومية,منصة صناعي | التراخيص الرقمية | إجراءات القطاع الصناعي,فرق العلاقات الحكومية والتعقيب | أصحاب الشركات | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
638,article,ar,دليل تمويل SIDF الصناعي 2026 | القروض والاشتراطات - متعدد,,دعم الأعمال,تمويل SIDF الصناعي | القروض | اشتراطات التمويل,أصحاب الشركات | فرق المالية والرواتب | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
639,article,ar,دليل المدن الصناعية بالرياض 2026 | افتح شركتك في الرياض - متعدد,,دعم الأعمال,المدن الصناعية بالرياض | تأسيس المصانع | التوسع الصناعي,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
640,article,ar,سيادة الاستثمار: الدليل الموسوعي الشامل لتراخيص الشركات في السعودية 2026 - متعدد,,دعم الأعمال,تراخيص الشركات | دليل الترخيص | الاستثمار في الرياض,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
641,article,ar,بوابة السيادة الاقتصادية: الدليل الموسوعي لفتح الأعمال في السعودية 2026,,دعم الأعمال,فتح الأعمال في السعودية | بوابة الاستثمار | بدء النشاط,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
642,article,ar,الخارطة التنفيذية للاستثمار: دليل تأسيس الأعمال في السعودية 2026,,دعم الأعمال,دليل تأسيس الأعمال | الخارطة التنفيذية | الامتثال التشغيلي,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
643,article,ar,تأسيس فرع شركة أجنبية في السعودية 2026 | دليل الفروع - متعدد,,دعم الأعمال,فرع شركة أجنبية | تسجيل الفروع | التوسع المؤسسي,أصحاب الشركات | فرق الامتثال والشؤون القانونية | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
644,article,ar,كيف تختار مستشار الاستثمار في السعودية 2026 | دليل المستشارين - متعدد,,دعم الأعمال,اختيار مستشار الاستثمار | تقييم المستشارين | الحوكمة الاستثمارية,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
646,article,ar,مستشارو تأسيس الأعمال في السعودية 2026 | دعم الاستثمار السيادي - متعدد,,دعم الأعمال,مستشارو تأسيس الأعمال | دعم الاستثمار | الدخول إلى السوق,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
657,article,ar,مشاريع الدرعية 2026 | دليل تسجيل الموردين والسيادة الاستثمارية - متعدد,,خدمة تسجيل الموردين,مشاريع الدرعية | تسجيل الموردين | التوريد للمشاريع الكبرى,فرق العلاقات الحكومية والتعقيب | أصحاب الشركات | الشركات المحلية والدولية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
658,article,ar,القدية 2026: الرحلة الكاملة في قلب العاصمة العالمية للترفيه والرياضة,,دعم الأعمال,القدية 2026 | الترفيه والرياضة | فرص الاستثمار,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
659,article,ar,إكسبو الرياض 2030: المجلد السيادي الشامل للموقع، آليات المشاركة، منظومة التأشيرات، وإرث المستقبل,,دعم الأعمال,إكسبو الرياض 2030 | آليات المشاركة | منظومة التأشيرات,أصحاب الشركات | الشركات المحلية والدولية | فرق الامتثال والشؤون القانونية,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
661,article,ar,نقل الخدمات بدون موافقة صاحب العمل 2026 | دليل السيادة العمالية - متعدد,,الموارد البشرية,نقل الخدمات بدون موافقة | تنقل العمالة | الامتثال العمالي,فرق الموارد البشرية والقوى العاملة | فرق العلاقات الحكومية والتعقيب | أصحاب الشركات,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,manual_body_review
